============================================================
QUERIES SEARCHED LOG  |  2025-07-21 19:10:39
============================================================
Total Queries: 678

No.   Query                                                        Mode  
--------------------------------------------------------------------------------
366   New Mexico business fire                                     live  
367   New Mexico pipe burst                                        top   
368   New Mexico pipe burst                                        live  
369   North Carolina house fire                                    top   
370   North Carolina house fire                                    live  
371   North Carolina apartment complex                             top   
372   North Carolina apartment complex                             live  
373   North Carolina store fire                                    top   
374   North Carolina store fire                                    live  
375   North Carolina commercial fire                               top   
376   North Carolina commercial fire                               live  
377   North Carolina restaurant fire                               top   
378   North Carolina restaurant fire                               live  
379   North Carolina warehouse fire                                top   
380   North Carolina warehouse fire                                live  
381   North Carolina business fire                                 top   
382   North Carolina business fire                                 live  
383   North Carolina pipe burst                                    top   
384   North Carolina pipe burst                                    live  
385   North Dakota house fire                                      top   
386   North Dakota house fire                                      live  
387   North Dakota apartment complex                               top   
388   North Dakota apartment complex                               live  
389   North Dakota store fire                                      top   
390   North Dakota store fire                                      live  
391   North Dakota commercial fire                                 top   
392   North Dakota commercial fire                                 live  
393   North Dakota restaurant fire                                 top   
394   North Dakota restaurant fire                                 live  
395   North Dakota warehouse fire                                  top   
396   North Dakota warehouse fire                                  live  
397   North Dakota business fire                                   top   
398   North Dakota business fire                                   live  
399   North Dakota pipe burst                                      top   
400   North Dakota pipe burst                                      live  
401   Ohio house fire                                              top   
402   Ohio house fire                                              live  
403   Ohio apartment complex                                       top   
404   Ohio apartment complex                                       live  
405   Ohio store fire                                              top   
406   Ohio store fire                                              live  
407   Ohio commercial fire                                         top   
408   Ohio commercial fire                                         live  
409   Ohio restaurant fire                                         top   
410   Ohio restaurant fire                                         live  
411   Ohio warehouse fire                                          top   
412   Ohio warehouse fire                                          live  
413   Ohio business fire                                           top   
414   Ohio business fire                                           live  
415   Ohio pipe burst                                              top   
416   Ohio pipe burst                                              live  
417   Oklahoma house fire                                          top   
418   Oklahoma house fire                                          live  
419   Oklahoma apartment complex                                   top   
420   Oklahoma apartment complex                                   live  
421   Oklahoma store fire                                          top   
422   Oklahoma store fire                                          live  
423   Oklahoma commercial fire                                     top   
424   Oklahoma commercial fire                                     live  
425   Oklahoma restaurant fire                                     top   
426   Oklahoma restaurant fire                                     live  
427   Oklahoma warehouse fire                                      top   
428   Oklahoma warehouse fire                                      live  
429   Oklahoma business fire                                       top   
430   Oklahoma business fire                                       live  
431   Oklahoma pipe burst                                          top   
432   Oklahoma pipe burst                                          live  
433   Oregon house fire                                            top   
434   Oregon house fire                                            live  
435   Oregon apartment complex                                     top   
436   Oregon apartment complex                                     live  
437   Oregon store fire                                            top   
438   Oregon store fire                                            live  
439   Oregon commercial fire                                       top   
440   Oregon commercial fire                                       live  
441   Oregon restaurant fire                                       top   
442   Oregon restaurant fire                                       live  
443   Oregon warehouse fire                                        top   
444   Oregon warehouse fire                                        live  
445   Oregon business fire                                         top   
446   Oregon business fire                                         live  
447   Oregon pipe burst                                            top   
448   Oregon pipe burst                                            live  
449   South Carolina house fire                                    top   
450   South Carolina house fire                                    live  
451   South Carolina apartment complex                             top   
452   South Carolina apartment complex                             live  
453   South Carolina store fire                                    top   
454   South Carolina store fire                                    live  
455   South Carolina commercial fire                               top   
456   South Carolina commercial fire                               live  
457   South Carolina restaurant fire                               top   
458   South Carolina restaurant fire                               live  
459   South Carolina warehouse fire                                top   
460   South Carolina warehouse fire                                live  
461   South Carolina business fire                                 top   
462   South Carolina business fire                                 live  
463   South Carolina pipe burst                                    top   
464   South Carolina pipe burst                                    live  
465   Tennessee house fire                                         top   
466   Tennessee house fire                                         live  
467   Tennessee apartment complex                                  top   
468   Tennessee apartment complex                                  live  
469   Tennessee store fire                                         top   
470   Tennessee store fire                                         live  
471   Tennessee commercial fire                                    top   
472   Tennessee commercial fire                                    live  
473   Tennessee restaurant fire                                    top   
474   Tennessee restaurant fire                                    live  
475   Tennessee warehouse fire                                     top   
476   Tennessee warehouse fire                                     live  
477   Tennessee business fire                                      top   
478   Tennessee business fire                                      live  
479   Tennessee pipe burst                                         top   
480   Tennessee pipe burst                                         live  
481   Texas house fire                                             top   
482   Texas house fire                                             live  
483   Texas apartment complex                                      top   
484   Texas apartment complex                                      live  
485   Texas store fire                                             top   
486   Texas store fire                                             live  
487   Texas commercial fire                                        top   
488   Texas commercial fire                                        live  
489   Texas restaurant fire                                        top   
490   Texas restaurant fire                                        live  
491   Texas warehouse fire                                         top   
492   Texas warehouse fire                                         live  
493   Texas business fire                                          top   
494   Texas business fire                                          live  
495   Texas pipe burst                                             top   
496   Texas pipe burst                                             live  
497   US Virgin Islands house fire                                 top   
498   US Virgin Islands house fire                                 live  
499   US Virgin Islands apartment complex                          top   
500   US Virgin Islands apartment complex                          live  
501   US Virgin Islands store fire                                 top   
